Node,out_degree_Lead,in_degree_Lag,betweenness,closeness,clustering,pagerank
SHEL,5,8,0.09356291669044707,0.5003465003465003,0.30303030303030304,0.09180749392228071
AZN,1,12,0.017132842790737523,0.560994560994561,0.3484848484848485,0.07203366231817411
XOM,3,8,0.041305381715300744,0.4936752136752137,0.38181818181818183,0.05232658631029845
BP,0,10,0.0,0.5,0.24444444444444444,0.042118413393099456
SLB,3,12,0.031689541153103906,0.5366034931252323,0.21978021978021978,0.04178842135535946
AMZN,7,13,0.08751596469207805,0.5366034931252323,0.30994152046783624,0.03898978293882824
MSFT,4,7,0.05741569683877376,0.4628205128205128,0.37777777777777777,0.035299420341839256
TMO,5,7,0.03892767807241492,0.4746877054569362,0.21818181818181817,0.035222160576942586
PBR,3,6,0.019702032859927592,0.43559577677224737,0.25,0.03324977428305962
NVO,5,9,0.0671551560974638,0.5003465003465003,0.28205128205128205,0.031293165027244066
MRK,6,9,0.036643115843520695,0.4746877054569362,0.32967032967032966,0.03111790923460505
VLO,7,5,0.07614510339712767,0.44078144078144077,0.26666666666666666,0.030813343923351118
BAC,7,10,0.06863031068496656,0.4628205128205128,0.3238095238095238,0.029436984519772034
UNH,6,3,0.03208207484523273,0.3778126635269492,0.4166666666666667,0.02479906805593566
WFC,5,5,0.0446272856697958,0.38974358974358975,0.2222222222222222,0.02438507656896379
AXP,6,4,0.055617124291213356,0.40687517610594537,0.16666666666666666,0.023972433731674313
JPM,4,7,0.009757031467557782,0.46867900032456994,0.35555555555555557,0.02377522722092896
META,5,6,0.02523260121944332,0.46867900032456994,0.35555555555555557,0.023485778572239473
ABBV,11,7,0.09127708773457763,0.38974358974358975,0.2857142857142857,0.022156335375571223
C,5,5,0.030133987320222134,0.4113960113960114,0.3055555555555556,0.02084436665824758
MS,7,8,0.048283647676360224,0.42074592074592077,0.27472527472527475,0.019146489631517594
AMD,4,6,0.02536042455070795,0.44078144078144077,0.2222222222222222,0.018663422589669063
INTC,7,5,0.054297903513490564,0.4160184384903486,0.30303030303030304,0.018584864776413572
GOOGL,5,4,0.020494612599875756,0.3428300094966762,0.4642857142857143,0.0185357185768925
DHR,3,4,0.00532479216689743,0.39388979814511726,0.14285714285714285,0.017827551907161183
ADBE,6,4,0.023332418069260168,0.38568376068376065,0.25,0.016559277117934677
MA,11,3,0.03646963603947409,0.373996373996374,0.3076923076923077,0.016153898716639744
V,8,3,0.026145378650439394,0.373996373996374,0.24444444444444444,0.01613584975720232
EQNR,4,4,0.015360118776110678,0.3460340282770189,0.32142857142857145,0.013072762263772943
CVX,3,4,0.03423503696783049,0.373996373996374,0.23809523809523808,0.013040295785273905
LLY,3,5,0.017697823618876247,0.36299648064353945,0.25,0.012119277926786211
AAPL,9,3,0.03431116416946376,0.37025641025641026,0.30303030303030304,0.011684087127024227
TTE,3,2,0.014020506783664677,0.3428300094966762,0.3,0.01143893447877559
NVDA,8,3,0.05372611344271263,0.37025641025641026,0.28888888888888886,0.011393364997220448
TSLA,7,4,0.020717752220788657,0.34929850024189646,0.3111111111111111,0.011116535721269916
COP,6,2,0.02283332015113392,0.3594722429673886,0.2857142857142857,0.010225210170289899
JNJ,6,3,0.022320944537543727,0.32196209587513935,0.35714285714285715,0.01008749722092719
PFE,10,2,0.034384448959347745,0.28481262327416174,0.38181818181818183,0.009821512392888108
GS,5,2,0.00677357767438739,0.31645847030462415,0.3333333333333333,0.008791108946837971
PYPL,13,2,0.021570671418849552,0.2915404805168585,0.2761904761904762,0.00668693556708786
