Node,out_degree_Lead,in_degree_Lag,betweenness,closeness,clustering,pagerank
BAC,30,36,0.005846218629174173,0.9285714285714286,0.9504504504504504,0.03375574738265657
EQNR,32,31,0.005341138288545606,0.8297872340425532,0.9504504504504504,0.03069334264655246
META,35,36,0.007621319545643093,0.9285714285714286,0.9460188933873145,0.029971980533494372
XOM,31,33,0.005710067721415974,0.8666666666666667,0.9519519519519519,0.02985761102590105
TSLA,32,34,0.006949776025109778,0.8863636363636364,0.9474474474474475,0.02970406996098743
AZN,36,33,0.0066589908821237265,0.8666666666666667,0.9460188933873145,0.029119044923163948
MS,32,30,0.004921763528721598,0.8125,0.9473684210526315,0.02899533873454666
PBR,32,29,0.005430686875774995,0.7959183673469388,0.9473684210526315,0.028882132085915675
AAPL,32,33,0.006654983530158951,0.8666666666666667,0.9487908961593172,0.028483588343258735
PFE,33,33,0.006054369366993844,0.8666666666666667,0.9459459459459459,0.028417939788482047
CVX,26,32,0.004129588624411503,0.8478260869565217,0.9504504504504504,0.02802471566064057
PYPL,27,31,0.004295168847779952,0.8297872340425532,0.9563025210084034,0.027886924277940244
WFC,34,33,0.006286544527029671,0.8666666666666667,0.9487908961593172,0.027771971487480826
C,29,35,0.0061100765468982444,0.9069767441860465,0.9460188933873145,0.027450411014844713
ABBV,29,34,0.006101516910872487,0.8863636363636364,0.9495798319327731,0.02744659310360623
TMO,34,33,0.006538171366490588,0.8666666666666667,0.9460188933873145,0.027174500514661987
BP,32,29,0.005378672546976735,0.7959183673469388,0.9429429429429429,0.025900819933134735
V,32,35,0.0068762715695288865,0.9069767441860465,0.9519519519519519,0.025291790349292187
SHEL,35,34,0.007366931272304743,0.8863636363636364,0.9460188933873145,0.025280258775771097
MSFT,27,33,0.0058254092139501685,0.8666666666666667,0.946031746031746,0.0251472092868094
INTC,28,29,0.005218267697225372,0.7959183673469388,0.9518716577540107,0.02472046796523056
DHR,27,33,0.005031072990483161,0.8666666666666667,0.9504504504504504,0.024678139056160567
AXP,33,29,0.0052663827246536895,0.7959183673469388,0.948948948948949,0.024327245683140937
COP,34,33,0.006830297793592367,0.8666666666666667,0.9460188933873145,0.024288082717546247
GOOGL,31,25,0.004756501241855973,0.7358490566037735,0.9507936507936507,0.02403078158260484
JNJ,36,33,0.006853287006844621,0.8666666666666667,0.9487908961593172,0.023924028164127285
MRK,33,31,0.006293544901140359,0.8297872340425532,0.9502133712660028,0.02281089504886384
SLB,30,30,0.0055228245422107095,0.8125,0.948948948948949,0.022703870979373073
UNH,34,30,0.005475177786965552,0.8125,0.953968253968254,0.022597702343853804
AMZN,33,32,0.006593540588934168,0.8478260869565217,0.9459459459459459,0.02188680678665628
NVDA,21,28,0.004140480319117094,0.78,0.9445378151260504,0.0215950967442442
JPM,22,28,0.003456681851127233,0.78,0.9534534534534534,0.021555572456492356
ADBE,35,28,0.0067274257907782,0.78,0.9460188933873145,0.021288077196460815
NVO,32,30,0.005638273114825329,0.8125,0.9459459459459459,0.02103190080409474
AMD,29,27,0.005123320472062433,0.7647058823529411,0.9571428571428572,0.020834709590969273
MA,28,28,0.005003162803337964,0.78,0.9529411764705882,0.020289728242349092
TTE,29,24,0.004102331829857626,0.7222222222222222,0.946031746031746,0.020258683109072466
VLO,27,28,0.004089660522593523,0.78,0.9523809523809523,0.019403523765081365
LLY,26,26,0.0033673156192236113,0.75,0.948306595365419,0.017274701737854878
GS,31,20,0.0037596131932527807,0.6724137931034483,0.9536541889483066,0.015243996196682288
