Node,out_degree_Lead,in_degree_Lag,betweenness,closeness,clustering,pagerank
XOM,5,12,0.13819284254506925,0.4431818181818182,0.27941176470588236,0.053130823575239225
CVX,3,7,0.12354133896763098,0.47560975609756095,0.15555555555555556,0.05159905926456519
C,6,8,0.14645669650135,0.47560975609756095,0.24242424242424243,0.04787174223118812
AAPL,2,10,0.02966447180843466,0.4642857142857143,0.18181818181818182,0.046632294039428326
NVDA,3,6,0.06167208407920482,0.4431818181818182,0.16666666666666666,0.045074344083131664
TMO,6,6,0.09940343278042728,0.4148936170212766,0.22727272727272727,0.044398616275788005
UNH,3,6,0.050042441218911805,0.41935483870967744,0.21428571428571427,0.04425401901196457
MRK,5,6,0.06837121713282704,0.4482758620689655,0.3111111111111111,0.04231966256164991
SLB,4,6,0.05805644755692385,0.42857142857142855,0.3055555555555556,0.039887265428660196
AXP,6,4,0.11071169454415465,0.38235294117647056,0.25,0.03654132928639429
TSLA,3,5,0.09002795450163871,0.3305084745762712,0.19047619047619047,0.03625893895802601
PBR,4,4,0.05084476717305962,0.3939393939393939,0.35714285714285715,0.029828787251313868
AMZN,2,5,0.03538679793740523,0.37142857142857144,0.38095238095238093,0.028893792364783625
COP,5,5,0.053252774344105615,0.3939393939393939,0.24444444444444444,0.02869587694421601
AZN,4,4,0.05415556665556665,0.33620689655172414,0.09523809523809523,0.02725957896962022
EQNR,4,6,0.06209514654680169,0.41935483870967744,0.3111111111111111,0.026829202937221866
AMD,7,4,0.028200995660509827,0.3611111111111111,0.3055555555555556,0.023001324152732035
JPM,1,3,0.019564986670249827,0.3939393939393939,0.0,0.022581747447101567
MS,6,5,0.040413704780220626,0.3611111111111111,0.4,0.021843970845562194
MA,4,3,0.032086777171916485,0.36792452830188677,0.5333333333333333,0.021728878748746853
ABBV,8,6,0.06603698445803707,0.3644859813084112,0.28205128205128205,0.020306995566943115
DHR,4,4,0.025824175824175823,0.38235294117647056,0.2857142857142857,0.020062224159111765
WFC,1,3,0.004296123729322109,0.3577981651376147,0.3333333333333333,0.019833135717324573
BAC,1,4,0.02998762932973459,0.36792452830188677,0.2,0.019673740836225466
BP,8,4,0.07806674055483295,0.34513274336283184,0.2727272727272727,0.0185267854916169
TTE,3,3,0.02166797737469326,0.33620689655172414,0.13333333333333333,0.017267738380286758
LLY,2,4,0.006458868193805081,0.3577981651376147,0.7333333333333333,0.01721427077396623
PFE,3,3,0.015785457232825654,0.3277310924369748,0.2,0.015395291977770002
NVO,7,2,0.03000306146888666,0.34513274336283184,0.4642857142857143,0.015335593760911283
GS,4,3,0.017037299932036773,0.3277310924369748,0.5333333333333333,0.014867311838556396
JNJ,9,2,0.07881610255092038,0.35454545454545455,0.21818181818181817,0.014596975305578082
ADBE,3,1,0.018136440707290907,0.25,0.0,0.014037874417597719
INTC,5,1,0.016351743173605524,0.312,0.3333333333333333,0.01267771624028212
V,7,3,0.03809684522651896,0.31451612903225806,0.3333333333333333,0.012474601109020714
SHEL,2,2,0.005337060600218494,0.33620689655172414,0.16666666666666666,0.011580840403224036
GOOGL,1,3,0.00914947625473941,0.29545454545454547,0.6666666666666666,0.01152028671843753
META,3,2,0.01117716628850232,0.3170731707317073,0.4,0.01139674485477089
MSFT,3,1,0.003845082792451213,0.26174496644295303,0.16666666666666666,0.005717107674515434
VLO,4,1,0.003767431399010346,0.2671232876712329,0.2,0.005133510396527416
PYPL,6,0,0.0,0.0,0.3333333333333333,0.0037500000000000007
