Node,out_degree_Lead,in_degree_Lag,betweenness,closeness,clustering,pagerank
NVDA,27,31,0.016919171316082178,0.8297872340425532,0.8184873949579832,0.034062620493861176
TMO,30,26,0.01457098227055918,0.75,0.8117647058823529,0.03372832425984122
TTE,21,24,0.00769115008248168,0.7222222222222222,0.8390151515151515,0.03350705849025575
BP,19,27,0.008967645090400017,0.7647058823529411,0.8257575757575758,0.033034506273706174
MSFT,31,29,0.018295595288670214,0.7959183673469388,0.8100840336134454,0.03244441243660994
LLY,21,30,0.009944006904957208,0.8125,0.8181818181818182,0.032011367695556694
ABBV,23,31,0.013409490171913311,0.8297872340425532,0.8181818181818182,0.03159159216562402
TSLA,24,23,0.008573040286370473,0.7090909090909091,0.8306451612903226,0.02984380388005627
JPM,30,28,0.01567672524121987,0.78,0.8235294117647058,0.029443322152297526
MA,35,24,0.016011671246913047,0.7222222222222222,0.8142857142857143,0.028152557840005636
NVO,26,30,0.013564621016937494,0.8125,0.8285714285714286,0.02787273726917244
MS,18,27,0.009716603317710671,0.7647058823529411,0.8275862068965517,0.027751402989712202
C,20,22,0.005690101412906859,0.6964285714285714,0.854679802955665,0.026579694177590662
MRK,26,26,0.011908271439873714,0.75,0.8201680672268907,0.02601015255413174
AMD,29,26,0.014579837798909517,0.75,0.8371212121212122,0.025882790495504196
AAPL,21,26,0.010853871879554004,0.75,0.8365591397849462,0.025806093328441027
PBR,22,25,0.011037137190716308,0.7358490566037735,0.8024193548387096,0.025445698005433108
SLB,23,27,0.012588225603249608,0.7647058823529411,0.821505376344086,0.02519397538030593
DHR,26,26,0.013034760058606723,0.75,0.8063492063492064,0.025097302241294805
XOM,12,24,0.004265409966573969,0.7222222222222222,0.8227513227513228,0.024595751618328943
AXP,23,22,0.008944651049542946,0.6964285714285714,0.8086021505376344,0.024371629746530413
AMZN,27,24,0.013039921164880633,0.7222222222222222,0.8199643493761141,0.024321446696387288
ADBE,29,25,0.014330910045312732,0.7358490566037735,0.8235294117647058,0.023726043051602252
GOOGL,26,23,0.010827862038707298,0.7090909090909091,0.8011363636363636,0.023228728520877658
INTC,32,26,0.01664991883007859,0.75,0.8153153153153153,0.023112022782066012
COP,31,21,0.012242640958369829,0.6842105263157895,0.7950089126559715,0.023090030350435404
SHEL,24,25,0.011544776351835814,0.7358490566037735,0.8245967741935484,0.02284947327674261
WFC,20,22,0.008163645946727267,0.6964285714285714,0.8160919540229885,0.022659639895361693
VLO,14,21,0.0059614457781307735,0.6842105263157895,0.8300492610837439,0.022323880911840017
CVX,13,19,0.003673465213493541,0.6610169491525424,0.857707509881423,0.02200310360754566
V,23,19,0.005914189340197111,0.6610169491525424,0.8298850574712644,0.021933971217322285
GS,24,22,0.007505667793031217,0.6964285714285714,0.8279569892473119,0.021121702655982795
JNJ,17,15,0.004830563162532935,0.6190476190476191,0.8115942028985508,0.02063003957147375
EQNR,26,23,0.010514385070340013,0.7090909090909091,0.8276515151515151,0.020174765177908626
PYPL,21,19,0.00678252940691611,0.6610169491525424,0.8544973544973545,0.019140067681301002
AZN,20,16,0.005431773000288005,0.6290322580645161,0.8433048433048433,0.01903430262368652
UNH,21,21,0.007098021882039325,0.6842105263157895,0.8300492610837439,0.018311293734155493
BAC,29,19,0.008952852021564442,0.6610169491525424,0.8324420677361853,0.017332282421181233
META,20,19,0.005894799076555329,0.6610169491525424,0.8386243386243386,0.01676491527052073
PFE,24,15,0.007353129871894556,0.6190476190476191,0.8290598290598291,0.015815497059349207
