Node,out_degree_Lead,in_degree_Lag,betweenness,closeness,clustering,pagerank
SLB,16,21,0.041455069790731734,0.6724137931034483,0.5423280423280423,0.043685771012527796
META,18,21,0.05196934714841479,0.6842105263157895,0.5264550264550265,0.04350268681007224
MS,23,17,0.048306157442016606,0.639344262295082,0.5753846153846154,0.03480295271212675
AAPL,9,16,0.011519908652093331,0.6190476190476191,0.5894736842105263,0.032914675206121013
INTC,6,15,0.0092246454585123,0.6190476190476191,0.6029411764705882,0.032527889869067614
XOM,9,15,0.01969882358040684,0.6,0.5523809523809524,0.031197814356930576
GS,11,14,0.022195569381364137,0.6,0.5421052631578948,0.03116029444392689
BP,9,15,0.01381854872167869,0.6190476190476191,0.6078431372549019,0.03113956570764472
PYPL,14,16,0.029928986945786582,0.6190476190476191,0.49523809523809526,0.030852398491641193
TSLA,22,14,0.04154637621731055,0.609375,0.5529100529100529,0.03052646374014165
NVO,12,13,0.03352550990502762,0.6,0.5380952380952381,0.02995441696280071
NVDA,12,13,0.030685171030611243,0.582089552238806,0.4502923976608187,0.02959487542676641
TMO,12,15,0.0192125332072861,0.6190476190476191,0.5968379446640316,0.028964395293697563
MSFT,12,14,0.016298683498967986,0.6,0.6140350877192983,0.028943698562920717
COP,15,13,0.02400961828184475,0.5909090909090909,0.5666666666666667,0.028236377757380554
MA,8,14,0.01531566778691698,0.6,0.5190476190476191,0.027946264038917878
AXP,10,13,0.018106853385376258,0.6,0.5052631578947369,0.027258410641291104
AMZN,8,13,0.01771508849170361,0.6,0.5514705882352942,0.02722228583918096
ADBE,8,13,0.008435232447885905,0.5909090909090909,0.65,0.025668232305965915
AMD,7,13,0.010849476875812511,0.5909090909090909,0.5808823529411765,0.025192116294677613
CVX,10,12,0.022295019309728985,0.5909090909090909,0.45098039215686275,0.02445268410287639
EQNR,12,9,0.013102872839563035,0.527027027027027,0.5428571428571428,0.024259709125499705
PBR,18,11,0.04089177740570758,0.5735294117647058,0.4588744588744589,0.024032618814335736
V,13,11,0.010037039209487099,0.5571428571428572,0.6666666666666666,0.02336196937392006
JPM,15,12,0.029875087176830004,0.5909090909090909,0.5098814229249012,0.022687080972398962
ABBV,12,10,0.01928477030123255,0.5735294117647058,0.5736842105263158,0.021501812721218566
TTE,11,11,0.02062656061137842,0.5735294117647058,0.47368421052631576,0.021466963674926055
UNH,10,8,0.011948340642452591,0.5416666666666666,0.5824175824175825,0.02064531420780606
PFE,14,9,0.014903412078428685,0.5492957746478874,0.5842105263157895,0.020610760474208605
MRK,18,9,0.018594657155477364,0.5492957746478874,0.5760869565217391,0.020344974184816626
AZN,16,10,0.02242884510423408,0.5652173913043478,0.5731225296442688,0.020136547334075307
C,10,8,0.017128876119558427,0.52,0.5164835164835165,0.01787568820461531
JNJ,4,9,0.0028170696262801525,0.5571428571428572,0.5111111111111111,0.017756306351062557
DHR,12,8,0.005555715556809243,0.5342465753424658,0.6190476190476191,0.01564742271565778
LLY,9,7,0.009531519531911226,0.4936708860759494,0.4666666666666667,0.015434715449757105
GOOGL,8,6,0.008686444154637063,0.5342465753424658,0.48717948717948717,0.015093500685798289
WFC,7,7,0.006062616130515318,0.5342465753424658,0.48484848484848486,0.014619017904195824
VLO,18,7,0.015876648339238634,0.52,0.5324675324675324,0.014544946322726886
SHEL,5,5,0.0019006373181474393,0.47560975609756095,0.7142857142857143,0.012724427857396393
BAC,8,4,0.00601134135725705,0.4875,0.4666666666666667,0.011511954048907952
