Node,out_degree_Lead,in_degree_Lag,betweenness,closeness,clustering,pagerank
ADBE,16,23,0.028580099201104412,0.7090909090909091,0.6086021505376344,0.03876314075884996
ABBV,17,21,0.03821675591342674,0.6842105263157895,0.6084656084656085,0.03832092165473874
AMZN,17,20,0.03138625704087799,0.6724137931034483,0.6022727272727273,0.03537485804619173
SHEL,15,19,0.029440825779599108,0.65,0.6153846153846154,0.03387923561041318
AMD,11,20,0.018668748147201687,0.6724137931034483,0.6430769230769231,0.033859500277230316
MRK,20,18,0.03352772501974057,0.65,0.6354679802955665,0.033543890931069596
JNJ,12,19,0.024866438119453917,0.6610169491525424,0.5766666666666667,0.033451248749486844
C,17,19,0.033224039852011826,0.6610169491525424,0.5689655172413793,0.033014720377818066
MSFT,16,18,0.021402321374620545,0.639344262295082,0.6266666666666667,0.03232103344042377
SLB,15,19,0.03204838564686328,0.65,0.5541871921182266,0.031991799068103004
XOM,12,19,0.02494258769516044,0.65,0.5897435897435898,0.031552911155424475
GS,17,17,0.027244867291544496,0.639344262295082,0.6061538461538462,0.03035661516089936
NVDA,17,18,0.019895088638873293,0.65,0.66,0.03029487414117453
PYPL,14,17,0.026028191976232035,0.6290322580645161,0.5753846153846154,0.028515144282783452
V,14,17,0.02469307531586853,0.6290322580645161,0.6195652173913043,0.02800299886292686
VLO,17,15,0.014332275396758472,0.6,0.6719367588932806,0.027349262195336243
AAPL,13,16,0.011848697939375263,0.6290322580645161,0.6920289855072463,0.026260829947117422
DHR,13,15,0.019888633208451304,0.6190476190476191,0.63,0.02536021249187423
AZN,11,11,0.009926862449079518,0.582089552238806,0.6783625730994152,0.02376718636888093
CVX,23,12,0.02112254342791801,0.5909090909090909,0.6369230769230769,0.023299599576297667
INTC,16,13,0.012281510336430244,0.6,0.7035573122529645,0.023014311344117296
BP,6,12,0.006420083542253798,0.582089552238806,0.6985294117647058,0.02299089075908958
AXP,9,11,0.007091751782409326,0.582089552238806,0.7083333333333334,0.022756687423715363
TTE,7,9,0.009097871653022628,0.5571428571428572,0.6166666666666667,0.022669953014966777
META,12,11,0.017847972678807323,0.582089552238806,0.5894736842105263,0.022312438559434964
EQNR,4,12,0.0044536728259301946,0.5909090909090909,0.6333333333333333,0.02230601750918858
MS,20,11,0.025583733831139332,0.582089552238806,0.6381766381766382,0.02160350745668545
TMO,18,10,0.0209941511956176,0.5652173913043478,0.5905797101449275,0.020672484826694853
JPM,9,10,0.006379433696024022,0.5652173913043478,0.6095238095238096,0.020102349903504516
MA,9,10,0.010705377568840404,0.5735294117647058,0.6397058823529411,0.019979696953028824
TSLA,16,11,0.010674456564142079,0.5735294117647058,0.6947368421052632,0.019790653314651345
COP,18,10,0.013151934059339213,0.5735294117647058,0.7035573122529645,0.019418147172121966
NVO,17,11,0.017042157647630604,0.5735294117647058,0.5844155844155844,0.01868232337042917
LLY,12,10,0.008965305895130454,0.5492957746478874,0.7058823529411765,0.01855396372532599
PFE,22,8,0.017042746636005628,0.5342465753424658,0.62,0.016151358994747223
UNH,10,9,0.009478380565024801,0.5492957746478874,0.6274509803921569,0.01611656768958067
BAC,4,7,0.002017505335583139,0.5342465753424658,0.7777777777777778,0.01365148148782214
WFC,14,7,0.005211745528771726,0.527027027027027,0.7205882352941176,0.01356594443841443
PBR,5,7,0.0018537505379610643,0.52,0.7111111111111111,0.013516638544114203
GOOGL,13,6,0.008899771479297216,0.5131578947368421,0.5220588235294118,0.012864600415326478
