Node,degree,betweenness,closeness,clustering,pagerank
COP,32,0.01925859993442596,0.582089552238806,0.7581699346405228,0.037690831188687345
XOM,33,0.016906870892580205,0.582089552238806,0.7485380116959064,0.035281452467748865
CVX,33,0.01617251404615041,0.5652173913043478,0.7485380116959064,0.03392067580744913
BP,32,0.015532365667225885,0.65,0.7263157894736842,0.03385016230093967
SHEL,26,0.022094711817874223,0.52,0.7666666666666667,0.03348827922549669
ADBE,34,0.030706239712337102,0.609375,0.6476190476190476,0.032834049365571515
MS,29,0.014565175676063922,0.5342465753424658,0.725,0.03219825730336917
EQNR,29,0.006548718763058514,0.5735294117647058,0.8333333333333334,0.03172958605276711
C,31,0.015980667309793778,0.5342465753424658,0.6684210526315789,0.03151969346475989
V,31,0.013824082710483444,0.5416666666666666,0.7941176470588235,0.030778428328665605
PBR,28,0.005358025183824266,0.5131578947368421,0.875,0.029978493330563436
VLO,34,0.02255424732261593,0.527027027027027,0.7210526315789474,0.02948982969885471
GS,24,0.009607460946385616,0.48148148148148145,0.8131868131868132,0.02915610355460109
MA,30,0.009107953571755659,0.52,0.7720588235294118,0.028994304551061896
PYPL,24,0.016269626793005774,0.5,0.6333333333333333,0.0289695479680149
SLB,31,0.043313917651373574,0.609375,0.6993464052287581,0.028712940330984767
BAC,29,0.0064403856151865075,0.5652173913043478,0.7581699346405228,0.028225417439812033
AXP,31,0.023104317037725128,0.5735294117647058,0.6993464052287581,0.028187515142564658
JPM,30,0.029227765973473985,0.6190476190476191,0.6491228070175439,0.02691650926834381
AAPL,38,0.042780940551152495,0.6290322580645161,0.6714285714285714,0.026701867709727885
MSFT,31,0.025021985558344853,0.6190476190476191,0.6666666666666666,0.02637058615182933
WFC,27,0.007926805223663022,0.5571428571428572,0.738562091503268,0.02470934949530544
ABBV,37,0.0442924275195518,0.5652173913043478,0.6190476190476191,0.023720491083435845
DHR,36,0.06480474798785009,0.609375,0.5333333333333333,0.023289221944942366
META,19,0.032265302567421425,0.5416666666666666,0.6410256410256411,0.023286745283856186
AMD,11,0.01940615776724228,0.5342465753424658,0.5555555555555556,0.023276553331114985
INTC,13,0.010676845424216123,0.5652173913043478,0.509090909090909,0.02309757510542714
JNJ,32,0.020380422450147002,0.5652173913043478,0.6578947368421053,0.021417565756490477
TSLA,18,0.004557953343355177,0.5064935064935064,0.7692307692307693,0.021031274333465355
MRK,36,0.02747727997057793,0.5492957746478874,0.6363636363636364,0.020960733858105877
TTE,20,0.004746499373526641,0.4482758620689655,0.8181818181818182,0.020728097438318875
LLY,32,0.029164687964709203,0.5571428571428572,0.5670995670995671,0.018608781244772207
GOOGL,24,0.02479273106006509,0.5571428571428572,0.7714285714285715,0.018476736252361424
TMO,32,0.047365800776289595,0.582089552238806,0.5887445887445888,0.01819575907687237
UNH,26,0.02172686468887043,0.5652173913043478,0.6666666666666666,0.01679007499540375
PFE,30,0.037724517743459994,0.5492957746478874,0.5138339920948617,0.013157309831579558
NVO,19,0.046717213935224135,0.4482758620689655,0.4852941176470588,0.012902503905169213
NVDA,14,0.025804684383430795,0.5064935064935064,0.5769230769230769,0.011333118697426208
AMZN,7,0.004584282800694871,0.42857142857142855,0.6,0.010891857615748339
AZN,5,0.01392075289215458,0.3939393939393939,0.4,0.009131720098390741
