Lead,Lag,Freq,AvgWeight,Score
PBR,SLB,100.0,-0.7753215639804311,77.5321563980431
NVO,BP,75.0,0.8543456498952797,64.07592374214597
MRK,MSFT,100.0,-0.6284934740275546,62.84934740275546
EQNR,SLB,87.5,-0.6864862098851475,60.06754336495041
COP,META,75.0,-0.7931278479257142,59.484588594428566
AXP,PFE,75.0,-0.7786943659671449,58.402077447535866
AZN,MRK,75.0,0.7772610050117068,58.29457537587801
V,MA,87.5,0.6598792540750502,57.739434731566895
PBR,WFC,100.0,0.5626704068511843,56.26704068511843
MA,V,75.0,0.729503360089811,54.712752006735826
MA,XOM,75.0,0.7094263462005387,53.2069759650404
COP,BP,62.5,-0.8506424130447279,53.16515081529549
MSFT,MRK,87.5,-0.6043610508798526,52.881591951987104
JPM,TTE,75.0,0.6959805374344072,52.198540307580544
COP,AAPL,75.0,0.686558518699013,51.49188890242597
AMD,TMO,75.0,-0.6823351538573227,51.1751365392992
COP,NVDA,75.0,-0.6762177454940369,50.71633091205277
AMD,AZN,75.0,0.6739786536187254,50.54839902140441
VLO,AXP,62.5,0.7923672317331646,49.522951983322784
VLO,TTE,75.0,-0.656553314203137,49.241498565235275
AXP,PBR,62.5,-0.7843617743105413,49.022610894408835
ABBV,ADBE,75.0,-0.6524663919679797,48.93497939759848
ABBV,INTC,62.5,0.781631522735583,48.851970170973935
META,UNH,62.5,-0.781423207606127,48.83895047538294
MA,AZN,87.5,-0.5531312348025814,48.398983045225876
AZN,AMD,87.5,0.5426206175083063,47.479304031976795
INTC,ABBV,75.0,0.6310523498077993,47.32892623558495
JPM,V,75.0,-0.6265436444974207,46.99077333730656
ADBE,JNJ,75.0,-0.6238951134881535,46.79213351161152
JPM,MA,87.5,-0.5341778260449332,46.74055977893166
ABBV,LLY,87.5,0.5329790281944575,46.63566496701503
MRK,BP,100.0,-0.4591536500507579,45.91536500507579
INTC,NVDA,87.5,-0.5242594528772028,45.87270212675524
BP,NVDA,87.5,0.5211002624489527,45.59627296428336
WFC,JPM,75.0,0.6012351556451906,45.09263667338929
LLY,MRK,100.0,0.4496465052620467,44.96465052620467
SHEL,ABBV,75.0,-0.5987848412862669,44.908863096470014
DHR,MRK,87.5,-0.5130401893275421,44.89101656615994
SLB,META,62.5,0.7138155110104643,44.61346943815401
UNH,MSFT,75.0,0.5942598089720607,44.56948567290455
JPM,WFC,75.0,0.5921141874636277,44.408564059772075
UNH,BP,62.5,-0.7080301737622845,44.25188586014278
AAPL,MRK,87.5,0.503903123596522,44.09152331469568
DHR,META,62.5,0.7033328000137222,43.95830000085764
DHR,TMO,75.0,0.5857105760463036,43.92829320347277
AZN,VLO,75.0,-0.5840980318685536,43.80735239014152
SLB,MRK,75.0,0.5828352888818732,43.712646666140486
TMO,AZN,62.5,-0.6926447132221382,43.29029457638364
JNJ,META,50.0,-0.8632973030229277,43.16486515114639
DHR,LLY,75.0,-0.5750668212536665,43.130011594024985
TSLA,AMD,87.5,-0.49069239122177555,42.93558423190536
GOOGL,PYPL,87.5,-0.4877211792182624,42.675603181597964
VLO,AZN,75.0,-0.5658030692612618,42.43523019459463
MRK,JNJ,87.5,0.48320569482385906,42.28049829708767
PBR,UNH,62.5,0.6726459839663365,42.040373997896026
SLB,SHEL,87.5,0.47810366202538074,41.834070427220816
AMZN,ADBE,62.5,-0.6679487524268394,41.74679702667746
GS,LLY,87.5,0.4761753309018027,41.665341453907736
DHR,AZN,87.5,-0.4716163808682205,41.266433325969295
AAPL,VLO,62.5,-0.6554571841114218,40.966074006963865
V,C,50.0,-0.8190079482891641,40.95039741445821
SHEL,GS,75.0,0.5438417455594883,40.78813091696162
CVX,AXP,62.5,0.6522143637046588,40.763397731541176
SLB,COP,62.5,-0.6498888405471941,40.61805253419963
TSLA,CVX,62.5,0.6492096581767107,40.57560363604442
LLY,MSFT,62.5,-0.6443545504709419,40.27215940443387
UNH,PFE,62.5,-0.6443183896030685,40.269899350191785
GOOGL,SHEL,75.0,0.5354886383523301,40.16164787642475
MRK,NVO,87.5,-0.45854612134997846,40.12278561812312
NVDA,GS,87.5,0.4566840557330663,39.9598548766433
ADBE,MSFT,62.5,0.6389858343456016,39.936614646600106
GS,ABBV,62.5,-0.6375403638910981,39.84627274319364
AXP,JNJ,62.5,-0.6336537795357058,39.60336122098161
WFC,SLB,75.0,-0.527268484711537,39.54513635336527
MSFT,TMO,50.0,0.7905431534421505,39.52715767210753
V,NVDA,50.0,-0.7852569390582362,39.262846952911815
AMD,CVX,87.5,-0.4474793523415673,39.154443329887144
PYPL,MS,50.0,-0.7774003646039316,38.87001823019658
VLO,AAPL,75.0,-0.516190034841507,38.714252613113025
MS,TSLA,50.0,0.7710079034562269,38.55039517281135
PYPL,JNJ,87.5,-0.43978065101698915,38.48080696398655
INTC,MA,75.0,0.5119708547900926,38.39781410925695
META,AMD,87.5,-0.4383953193997299,38.35959044747637
NVDA,TTE,50.0,0.7664947630858061,38.32473815429031
DHR,AMD,100.0,-0.382372374700705,38.237237470070504
MA,JPM,87.5,-0.4364117230688943,38.18602576852825
ADBE,VLO,62.5,0.6098749319015793,38.11718324384871
AMZN,JNJ,50.0,0.7617265051574453,38.08632525787227
JPM,LLY,62.5,0.6087395901924868,38.04622438703043
MS,META,87.5,0.4336497614246585,37.94435412465762
AAPL,MSFT,100.0,-0.37880506217170884,37.88050621717088
AMZN,TTE,75.0,0.5047724346774661,37.85793260080996
AMD,GOOGL,62.5,-0.6044835777310354,37.780223608189715
MS,INTC,87.5,-0.4316368791337877,37.768226924206424
ABBV,TMO,87.5,-0.43126719056338925,37.73587917429656
DHR,MSFT,75.0,0.5031209607072759,37.734072053045686
V,ABBV,50.0,0.7529347938508997,37.64673969254498
TMO,MRK,75.0,-0.5013222655026012,37.59916991269509
MSFT,UNH,75.0,0.4991243412275079,37.43432559206309
TMO,AAPL,75.0,-0.4982788367829259,37.37091275871944
AZN,JPM,50.0,0.7473728400230387,37.36864200115193
MRK,LLY,87.5,0.42534638793900253,37.21780894466272
UNH,AXP,75.0,0.49576847072451685,37.18263530433877
BAC,TSLA,50.0,0.7428448445481224,37.14224222740612
AXP,JPM,87.5,-0.42290530247887653,37.004213966901695
NVDA,LLY,62.5,-0.5920003113931496,37.00001946207185
TMO,WFC,75.0,-0.4914641967765528,36.859814758241455
V,XOM,62.5,0.589305396829911,36.83158730186944
PBR,BAC,75.0,0.49085906709597965,36.81443003219847
AXP,TSLA,62.5,0.5865187530001744,36.6574220625109
