Lead,Lag,Freq,AvgWeight,Score
LLY,TTE,88.88888888888889,0.8514745649708458,75.68662799740852
JNJ,AMZN,100.0,0.7484378553125084,74.84378553125084
AAPL,PYPL,83.33333333333334,-0.8127725649317631,67.73104707764693
GS,SLB,83.33333333333334,0.8084148046246444,67.36790038538705
NVO,VLO,83.33333333333334,-0.7933516407661145,66.11263673050955
JNJ,MRK,94.44444444444444,0.69016905251544,65.18263273756934
AMD,MSFT,94.44444444444444,-0.6739829036785157,63.65394090297092
DHR,NVDA,83.33333333333334,0.7607586522442639,63.396554353688664
SHEL,PYPL,77.77777777777779,-0.8056071080121397,62.65833062316643
MA,GS,88.88888888888889,-0.6967039915750397,61.92924369555908
LLY,UNH,94.44444444444444,-0.6552926010230047,61.888745652172666
JNJ,DHR,100.0,-0.6145816070366508,61.45816070366508
DHR,AMZN,88.88888888888889,-0.6842779470125822,60.82470640111841
MRK,TMO,83.33333333333334,-0.7257727275949015,60.481060632908466
DHR,JPM,88.88888888888889,-0.671973689035551,59.73099458093786
C,MSFT,83.33333333333334,-0.7158108810096019,59.65090675080016
INTC,TSLA,72.22222222222221,-0.825020998516435,59.584849892853626
BAC,COP,77.77777777777779,0.743334901502542,57.81493678353105
COP,GS,77.77777777777779,0.7424521391634844,57.746277490493235
PBR,BP,66.66666666666666,-0.8585298231677512,57.23532154451674
VLO,PYPL,83.33333333333334,0.6861267012070711,57.17722510058926
TMO,JNJ,83.33333333333334,-0.6796234916781925,56.63529097318271
LLY,JPM,94.44444444444444,0.597581519367869,56.4382546069654
TSLA,MRK,77.77777777777779,-0.718494839398835,55.882931953242725
COP,PYPL,83.33333333333334,-0.6696496165578683,55.8041347131557
AAPL,JPM,72.22222222222221,0.7639372236411265,55.173243929636904
JPM,WFC,77.77777777777779,0.708421046448084,55.099414723739876
AAPL,WFC,83.33333333333334,0.6606516366382957,55.05430305319132
GS,MA,83.33333333333334,-0.6579905334515677,54.83254445429731
AMZN,ABBV,66.66666666666666,0.8206700002797752,54.711333351985004
GOOGL,PBR,77.77777777777779,-0.6958435764598735,54.121167057990164
AMD,TTE,88.88888888888889,0.6087570717171324,54.111739708189546
C,GS,72.22222222222221,0.7489904452247351,54.09375437734197
MRK,DHR,94.44444444444444,-0.5712048705297202,53.947126661140246
TSLA,GS,88.88888888888889,0.6039657559248118,53.68584497109438
